epoch,loss
1,0.6275973209909572
2,0.36983862376896437
3,0.341731973134788
4,0.33349833006312135
5,0.31901104976037503
6,0.2959535234862832
7,0.29951964176384505
8,0.2936540658876395
9,0.2859188264152806
10,0.2790010251626847
11,0.2672212419046718
12,0.26438453689122654
13,0.2586758267727627
14,0.25392617038480797
15,0.2611676768702307
16,0.2587564696267152
17,0.23907623919332102
18,0.24855056167787806
19,0.23191889755095646
20,0.23812305343568704
21,0.23625483155060725
22,0.23863622612634283
23,0.22719342873734275
24,0.22041408442387914
25,0.22177632822162785
26,0.2198151982608874
27,0.20759490374357079
28,0.20994091622389047
29,0.21536046005548184
30,0.2117251993459501
31,0.19748344357795777
32,0.2118730277867074
33,0.18769890497064895
34,0.1990491875987144
35,0.19535268264211667
36,0.1978511792269482
37,0.19296169380663306
38,0.18980535134008736
39,0.18186465090816947
40,0.1812237644935869
